ID,epochs,val_loss,train_loss,val_acc,train_acc,model_path
10n_4cnn_sgd_relu_0,230,0.501665413,0.643165082,0.833333333,0.692307692,models/model_10n_4cnn_sgd_relu_0.torch
10n_4cnn_sgd_relu_1,5,1.026543975,1.11379993,0.666666667,0.192307692,models/model_10n_4cnn_sgd_relu_1.torch
10n_4cnn_sgd_relu_2,263,0.313867241,0.698996603,1.0,0.615384615,models/model_10n_4cnn_sgd_relu_2.torch
10n_4cnn_sgd_relu_3,93,0.887691677,0.907131433,0.833333333,0.653846154,models/model_10n_4cnn_sgd_relu_3.torch
10n_4cnn_sgd_relu_4,3,1.027807832,1.146615922,0.5,0.153846154,models/model_10n_4cnn_sgd_relu_4.torch
10n_4cnn_rmsprop_relu_0,20,0.217327133,0.73049444,1.0,0.653846154,models/model_10n_4cnn_rmsprop_relu_0.torch
10n_4cnn_rmsprop_relu_1,125,0.268651843,0.449045867,0.833333333,0.769230769,models/model_10n_4cnn_rmsprop_relu_1.torch
10n_4cnn_rmsprop_relu_2,49,0.363534331,0.347510651,0.833333333,0.807692308,models/model_10n_4cnn_rmsprop_relu_2.torch
10n_4cnn_rmsprop_relu_3,17,0.557247579,0.64022702,0.666666667,0.692307692,models/model_10n_4cnn_rmsprop_relu_3.torch
10n_4cnn_rmsprop_relu_4,41,0.726776838,0.441765949,0.833333333,0.846153846,models/model_10n_4cnn_rmsprop_relu_4.torch
10n_4cnn_rmsprop_sigmoid_0,28,0.3660882413387298,0.7817652225494385,1.0,0.6153846153846154,models/model_10n_4cnn_rmsprop_sigmoid_0.torch
10n_4cnn_rmsprop_sigmoid_1,27,0.6041139364242554,0.766930878162384,0.8333333333333334,0.6923076923076923,models/model_10n_4cnn_rmsprop_sigmoid_1.torch
10n_4cnn_rmsprop_sigmoid_2,30,0.3711254894733429,0.7038795948028564,1.0,0.7307692307692307,models/model_10n_4cnn_rmsprop_sigmoid_2.torch
10n_4cnn_rmsprop_sigmoid_3,35,0.4366192817687988,0.6456932425498962,0.8333333333333334,0.7307692307692307,models/model_10n_4cnn_rmsprop_sigmoid_3.torch
10n_4cnn_rmsprop_sigmoid_4,25,0.7034944891929626,0.6904826164245605,0.6666666666666666,0.7307692307692307,models/model_10n_4cnn_rmsprop_sigmoid_4.torch
10n_4cnn_rmsprop_tanh_0,18,0.4902604520320892,0.6876359581947327,0.8333333333333334,0.6923076923076923,models/model_10n_4cnn_rmsprop_tanh_0.torch
10n_4cnn_rmsprop_tanh_1,19,0.4164566099643707,0.8305120468139648,0.8333333333333334,0.6538461538461539,models/model_10n_4cnn_rmsprop_tanh_1.torch
10n_4cnn_rmsprop_tanh_2,35,0.6971370577812195,0.6606264412403107,0.6666666666666666,0.6923076923076923,models/model_10n_4cnn_rmsprop_tanh_2.torch
10n_4cnn_rmsprop_tanh_3,3,0.7066121697425842,1.013763189315796,0.6666666666666666,0.5769230769230769,models/model_10n_4cnn_rmsprop_tanh_3.torch
10n_4cnn_rmsprop_tanh_4,37,0.46943923830986023,0.866933286190033,0.8333333333333334,0.6153846153846154,models/model_10n_4cnn_rmsprop_tanh_4.torch
